age,female,wbhaom,state,educ92,incp_ern
57,0,3,1,0,40000
15,0,1,1,1,1200
15,0,1,1,1,1200
16,0,0,1,1,2500
36,0,3,1,1,8000
15,0,0,1,1,8000
44,0,0,1,1,13000
41,0,3,1,1,21000
29,0,3,1,1,35000
25,0,3,1,1,40000
41,0,0,1,1,50000
85,0,0,1,1,50000
35,0,0,1,1,52000
61,0,0,1,1,60000
65,0,3,1,1,200000
73,0,2,1,1,400000
63,0,0,1,2,10000
37,0,3,1,2,14000
35,0,3,1,2,14000
26,1,1,1,2,17000
42,0,0,1,2,20000
52,0,3,1,2,21400
35,0,3,1,2,25000
47,0,3,1,2,30000
41,0,3,1,2,30000
37,0,0,1,2,50000
58,0,1,1,2,50000
47,0,0,1,2,54896
28,0,3,1,2,75000
17,0,0,1,3,1700
17,1,0,1,3,2000
16,0,0,1,3,2400
17,1,0,1,3,2500
17,0,0,1,3,3302
17,1,0,1,3,3600
53,1,1,1,3,4000
18,0,0,1,3,4000
18,0,0,1,3,4000
30,1,0,1,3,6000
38,1,0,1,3,6240
35,1,0,1,3,9000
17,0,0,1,3,10000
26,1,0,1,3,11475
26,1,0,1,3,15000
25,1,1,1,3,15000
45,0,0,1,3,16000
46,1,3,1,3,16000
37,1,0,1,3,17000
25,0,0,1,3,20000
43,1,3,1,3,22560
60,0,1,1,3,22800
51,0,0,1,3,25000
37,0,1,1,3,25000
39,1,1,1,3,28000
47,0,0,1,3,48000
59,0,1,1,3,50000
29,0,1,1,3,60000
27,0,1,1,3,67000
55,0,0,1,3,100000
65,1,1,1,4,1000
17,0,0,1,4,1000
17,1,1,1,4,1000
31,1,1,1,4,1500
20,0,1,1,4,1600
17,1,0,1,4,2000
18,0,0,1,4,2800
63,1,0,1,4,3000
30,0,3,1,4,4375
18,1,0,1,4,4500
18,1,3,1,4,5000
17,1,0,1,4,5000
17,0,0,1,4,6000
27,1,1,1,4,9000
19,0,0,1,4,10000
36,1,0,1,4,10000
16,1,0,1,4,10800
38,1,0,1,4,13000
20,0,0,1,4,14000
17,0,0,1,4,15000
