Gender,Age,Ethnicity,Location,Income,,,,,,,,,
0,49,0,1,220000,,,,,,,,,
1,51,0,1,0,,,,,,,,,
1,20,0,1,8000,,,,,,,,,
0,16,0,1,4000,,,,,,,,,
1,80,0,1,0,,,,,,,,,
0,27,5,1,17350,,,,,,,,,
0,24,3,1,12000,,,,,,,,,
0,62,0,0,25480,,,,,,,,,
1,70,0,0,0,,,,,,,,,
1,53,0,1,6000,,,,,,,,,
0,52,2,1,70200,,,,,,,,,
1,16,5,1,10520,,,,,,,,,
0,14,5,1,0,,,,,,,,,
0,32,0,1,0,,,,,,,,,
1,31,0,1,46000,,,,,,,,,
0,8,0,1,0,,,,,,,,,
1,7,0,1,0,,,,,,,,,
0,37,0,0,40000,,,,,,,,,
1,49,0,1,47000,,,,,,,,,
0,50,0,1,0,,,,,,,,,
0,15,0,1,0,,,,,,,,,
0,62,0,1,0,,,,,,,,,
1,48,0,1,35000,,,,,,,,,
0,55,0,0,40000,,,,,,,,,
1,41,0,0,55000,,,,,,,,,
1,1,0,0,0,,,,,,,,,
1,53,0,1,11571,,,,,,,,,
1,80,0,0,0,,,,,,,,,
1,54,0,1,66000,,,,,,,,,
0,51,0,1,83000,,,,,,,,,
1,20,0,1,23000,,,,,,,,,
1,39,0,0,0,,,,,,,,,
0,47,0,0,35000,,,,,,,,,
1,8,0,0,0,,,,,,,,,
1,1,0,0,0,,,,,,,,,
0,70,0,0,15000,,,,,,,,,
1,66,0,0,0,,,,,,,,,
1,27,0,0,70000,,,,,,,,,
0,32,0,0,53000,,,,,,,,,
0,3,0,0,0,,,,,,,,,
1,1,0,0,0,,,,,,,,,
1,34,0,0,15200,,,,,,,,,
1,9,0,0,0,,,,,,,,,
1,44,0,0,30000,,,,,,,,,
0,8,0,0,0,,,,,,,,,
0,62,0,1,18000,,,,,,,,,
1,85,0,1,0,,,,,,,,,
1,65,0,1,0,,,,,,,,,
0,65,0,1,63000,,,,,,,,,
0,46,0,0,62000,,,,,,,,,
1,47,0,0,34000,,,,,,,,,
0,25,0,0,21000,,,,,,,,,
1,3,0,0,0,,,,,,,,,
1,19,0,0,2500,,,,,,,,,
1,21,0,0,4800,,,,,,,,,
0,59,0,0,67000,,,,,,,,,
1,62,0,0,55000,,,,,,,,,
0,30,0,1,59000,,,,,,,,,
1,28,0,1,0,,,,,,,,,
0,2,0,1,0,,,,,,,,,
0,29,0,0,40000,,,,,,,,,
1,30,0,0,30000,,,,,,,,,
1,8,0,0,0,,,,,,,,,
0,3,0,0,0,,,,,,,,,
0,63,0,0,118500,,,,,,,,,
1,62,0,0,31000,,,,,,,,,
1,43,0,1,40000,,,,,,,,,
0,39,0,1,75000,,,,,,,,,
0,7,0,1,0,,,,,,,,,
